# program start time: 20120822 13:50:34
# file creation time: 20120822 13:55:3
# exe:create-cgi-data-org.pl
#    argument: -p /home/rkoga/prefix2as.20120601.txt
#    argument: -P 20120601.filtered.paths.txt.13
#    argument: -i /home/mjl/as-org2info.201206.txt.1
#    argument: /home/mjl/20120601.as-rel.txt.55c
# source:topology|BGP|20120604|ripe|rrc13
# source:topology|BGP|20120604|ripe|rrc05
# source:topology|BGP|20120604|ripe|rrc10
# source:topology|BGP|20120604|ripe|rrc07
# source:topology|BGP|20120604|ripe|rrc15
# source:topology|BGP|20120604|ripe|rrc11
# source:topology|BGP|20120604|ripe|rrc04
# source:topology|BGP|20120604|ripe|rrc06
# source:topology|BGP|20120604|ripe|rrc03
# source:topology|BGP|20120604|ripe|rrc14
# source:topology|BGP|20120604|ripe|rrc12
# source:topology|BGP|20120604|ripe|rrc01
# source:topology|BGP|20120604|ripe|rrc00
# source:topology|BGP|20120604|routeviews|isc
# source:topology|BGP|20120604|routeviews|saoppaulo
# source:topology|BGP|20120604|routeviews|linx
# source:topology|BGP|20120604|routeviews|sydney
# source:topology|BGP|20120604|routeviews|eqix
# source:topology|BGP|20120604|routeviews|routeviews2
# source:topology|BGP|20120605|ripe|rrc13
# source:topology|BGP|20120605|ripe|rrc05
# source:topology|BGP|20120605|ripe|rrc10
# source:topology|BGP|20120605|ripe|rrc07
# source:topology|BGP|20120605|ripe|rrc15
# source:topology|BGP|20120605|ripe|rrc11
# source:topology|BGP|20120605|ripe|rrc04
# source:topology|BGP|20120605|ripe|rrc06
# source:topology|BGP|20120605|ripe|rrc03
# source:topology|BGP|20120605|ripe|rrc14
# source:topology|BGP|20120605|ripe|rrc12
# source:topology|BGP|20120605|ripe|rrc01
# source:topology|BGP|20120605|ripe|rrc00
# source:topology|BGP|20120605|routeviews|isc
# source:topology|BGP|20120605|routeviews|saoppaulo
# source:topology|BGP|20120605|routeviews|linx
# source:topology|BGP|20120605|routeviews|sydney
# source:topology|BGP|20120605|routeviews|eqix
# source:topology|BGP|20120605|routeviews|routeviews2
# source:topology|BGP|20120602|ripe|rrc13
# source:topology|BGP|20120602|ripe|rrc05
# source:topology|BGP|20120602|ripe|rrc10
# source:topology|BGP|20120602|ripe|rrc07
# source:topology|BGP|20120602|ripe|rrc15
# source:topology|BGP|20120602|ripe|rrc11
# source:topology|BGP|20120602|ripe|rrc04
# source:topology|BGP|20120602|ripe|rrc06
# source:topology|BGP|20120602|ripe|rrc03
# source:topology|BGP|20120602|ripe|rrc14
# source:topology|BGP|20120602|ripe|rrc12
# source:topology|BGP|20120602|ripe|rrc01
# source:topology|BGP|20120602|ripe|rrc00
# source:topology|BGP|20120602|routeviews|isc
# source:topology|BGP|20120602|routeviews|saoppaulo
# source:topology|BGP|20120602|routeviews|linx
# source:topology|BGP|20120602|routeviews|sydney
# source:topology|BGP|20120602|routeviews|eqix
# source:topology|BGP|20120602|routeviews|routeviews2
# source:topology|BGP|20120603|ripe|rrc13
# source:topology|BGP|20120603|ripe|rrc05
# source:topology|BGP|20120603|ripe|rrc10
# source:topology|BGP|20120603|ripe|rrc07
# source:topology|BGP|20120603|ripe|rrc15
# source:topology|BGP|20120603|ripe|rrc11
# source:topology|BGP|20120603|ripe|rrc04
# source:topology|BGP|20120603|ripe|rrc06
# source:topology|BGP|20120603|ripe|rrc03
# source:topology|BGP|20120603|ripe|rrc14
# source:topology|BGP|20120603|ripe|rrc12
# source:topology|BGP|20120603|ripe|rrc01
# source:topology|BGP|20120603|ripe|rrc00
# source:topology|BGP|20120603|routeviews|isc
# source:topology|BGP|20120603|routeviews|saoppaulo
# source:topology|BGP|20120603|routeviews|linx
# source:topology|BGP|20120603|routeviews|sydney
# source:topology|BGP|20120603|routeviews|eqix
# source:topology|BGP|20120603|routeviews|routeviews2
# source:topology|BGP|20120601|ripe|rrc13
# source:topology|BGP|20120601|ripe|rrc05
# source:topology|BGP|20120601|ripe|rrc10
# source:topology|BGP|20120601|ripe|rrc07
# source:topology|BGP|20120601|ripe|rrc15
# source:topology|BGP|20120601|ripe|rrc11
# source:topology|BGP|20120601|ripe|rrc04
# source:topology|BGP|20120601|ripe|rrc06
# source:topology|BGP|20120601|ripe|rrc03
# source:topology|BGP|20120601|ripe|rrc14
# source:topology|BGP|20120601|ripe|rrc12
# source:topology|BGP|20120601|ripe|rrc01
# source:topology|BGP|20120601|ripe|rrc00
# source:topology|BGP|20120601|routeviews|isc
# source:topology|BGP|20120601|routeviews|saoppaulo
# source:topology|BGP|20120601|routeviews|linx
# source:topology|BGP|20120601|routeviews|sydney
# source:topology|BGP|20120601|routeviews|eqix
# source:topology|BGP|20120601|routeviews|routeviews2
# type    label
# ----    -----
#   -1    customer
#    0    peer
#    2    sibling
# format:as0 | as1 | type
1|3705|customer
1|10553|customer
1|21616|customer
3|293|peer
4|24863|customer
6|43502|customer
24|293|peer
24|2143|sibling
24|7575|peer
24|10343|sibling
24|11537|peer
24|19401|peer
26|33207|sibling
32|71|peer
32|3561|peer
32|3671|customer
34|2|sibling
35|5691|sibling
42|293|peer
42|701|peer
42|703|peer
42|715|sibling
42|852|peer
42|1103|peer
42|1273|peer
42|1280|peer
42|1836|peer
42|1853|peer
42|1916|peer
42|2497|peer
42|2516|peer
42|2603|peer
42|3216|peer
42|3303|peer
42|3330|peer
42|3333|peer
42|3491|peer
42|4589|peer
42|4608|peer
42|4637|peer
42|4739|peer
42|4777|peer
42|4826|peer
42|5413|peer
42|5568|peer
42|6079|peer
42|6461|peer
42|6539|peer
42|6667|peer
42|6730|peer
42|6762|peer
42|6830|peer
42|6939|peer
42|7475|peer
42|7545|peer
42|7575|peer
42|7631|peer
42|7660|peer
42|7738|peer
42|8218|peer
42|8220|peer
42|8359|peer
42|8419|peer
42|8422|peer
42|8426|peer
42|8447|peer
42|8468|peer
42|8492|peer
42|8596|peer
42|8607|peer
42|8758|peer
42|8928|peer
42|9002|peer
42|9189|peer
42|9266|peer
42|9304|peer
42|10026|peer
42|11164|peer
42|11666|peer
42|11686|peer
42|12350|peer
42|12637|peer
42|12714|peer
42|12779|peer
42|12859|peer
42|12989|peer
42|13030|peer
42|13237|peer
42|14361|peer
42|15412|peer
42|15469|peer
42|16559|peer
42|16668|customer
42|16686|customer
42|19151|peer
42|20080|peer
42|20144|customer
42|20485|peer
42|20562|peer
42|20640|peer
42|22652|peer
42|22691|peer
42|23148|peer
42|24130|peer
42|25091|peer
42|28917|peer
42|29049|peer
42|29140|peer
42|29208|peer
42|29222|peer
42|29636|peer
42|29686|peer
42|30781|peer
42|30844|peer
42|31500|peer
42|34288|peer
42|34695|peer
42|35369|peer
42|38052|customer
42|38809|peer
42|39202|peer
42|39326|peer
42|39792|peer
42|39912|peer
42|41095|peer
42|41692|peer
42|42708|peer
42|43100|peer
42|44876|customer
42|45494|customer
42|45896|peer
57|217|sibling
57|1998|customer
57|3677|peer
57|3807|customer
57|6263|customer
57|7973|customer
57|8148|customer
57|15336|customer
57|17234|customer
57|19782|peer
57|21873|customer
57|21951|customer
57|23036|customer
57|25866|customer
57|26557|customer
57|32907|customer
57|33189|customer
57|33246|customer
57|33455|customer
57|33692|customer
57|36784|customer
57|40497|customer
59|293|peer
59|513|peer
59|11537|peer
59|19151|peer
63|10578|peer
64|5691|sibling
71|10782|sibling
71|12641|customer
71|13979|customer
71|15329|customer
71|19647|customer
73|47065|customer
80|1295|sibling
80|14846|sibling
81|6559|customer
81|11426|peer
81|11442|customer
81|11777|customer
81|13371|customer
81|14448|customer
81|17031|customer
81|18538|customer
81|19718|sibling
81|20197|customer
81|22753|customer
81|22854|customer
81|27446|customer
81|29710|customer
81|29901|customer
81|32417|customer
81|33401|customer
81|36850|customer
81|40245|customer
81|46255|customer
81|46963|customer
81|53785|customer
88|293|peer
88|40623|customer
88|47065|customer
97|2914|sibling
101|73|sibling
101|293|peer
101|2153|peer
101|3130|peer
101|3401|customer
101|3428|customer
101|3491|peer
101|4193|customer
101|6182|customer
101|6539|peer
101|6939|peer
101|7018|peer
101|7575|peer
101|7774|customer
101|10430|sibling
101|11537|peer
101|11649|customer
101|11956|customer
101|12989|peer
101|13476|customer
101|14221|sibling
101|14954|customer
101|17200|customer
101|18856|customer
101|20388|peer
101|25845|customer
101|26178|customer
101|27750|peer
101|46435|customer
103|293|peer
109|3943|customer
112|2852|peer
112|3333|peer
112|4739|peer
112|5413|peer
112|6509|peer
112|6881|peer
112|7631|peer
112|8447|peer
112|8468|peer
112|12637|peer
112|12859|peer
112|13237|peer
112|19151|peer
112|20562|peer
112|34288|peer
112|39326|peer
112|39792|peer
112|42109|peer
112|42708|peer
137|2597|customer
137|4589|peer
137|5396|peer
137|6730|peer
137|8220|peer
137|8928|peer
137|8978|customer
137|12637|peer
137|12779|peer
137|15469|peer
137|16004|customer
137|24915|peer
137|28929|peer
137|29609|customer
137|34695|peer
137|35110|customer
137|39912|peer
137|42165|customer
137|47630|customer
137|49976|customer
137|50112|customer
137|51708|customer
145|21633|customer
151|9798|customer
160|293|peer
160|19782|peer
173|701|peer
173|2511|customer
174|3|customer
174|14|customer
174|20|customer
174|26|customer
174|34|customer
174|55|customer
174|57|customer
174|72|customer
174|91|customer
174|98|customer
174|103|customer
174|111|customer
174|137|customer
174|156|customer
174|160|customer
174|167|customer
174|209|peer
174|210|customer
174|239|customer
174|286|peer
174|297|peer
174|376|customer
174|511|customer
174|545|customer
174|549|customer
174|557|customer
174|577|customer
174|579|customer
174|605|customer
174|607|customer
174|701|peer
174|714|customer
174|766|customer
174|773|customer
174|803|customer
174|812|customer
174|819|customer
174|852|customer
174|855|customer
174|1239|peer
174|1246|customer
174|1257|peer
174|1273|peer
174|1277|customer
174|1280|customer
174|1286|peer
174|1290|customer
174|1299|peer
174|1315|customer
174|1356|customer
174|1408|customer
174|1421|customer
174|1422|customer
174|1425|customer
174|1442|customer
174|1547|customer
174|1613|peer
174|1615|customer
174|1629|customer
174|1636|customer
174|1668|peer
174|1742|customer
174|1764|customer
174|1782|customer
174|1785|customer
174|1798|customer
174|1827|customer
174|1836|customer
174|1886|customer
174|1955|customer
174|1968|customer
174|1996|customer
174|2033|customer
174|2044|customer
174|2107|customer
174|2119|customer
174|2134|customer
174|2149|sibling
